2019-01-09,5.316666666666666
2019-01-07,6.44
2019-01-10,7.068000000000001
2019-01-11,6.85263157894737
2019-01-11,18.306666533333328
2019-01-12,38.758333020833334
2019-01-13,32.14166633333333
2019-01-14,26.82708297916666
2019-01-15,32.881632040816314
2019-01-16,29.94791641666666
2019-01-17,27.12499989583333
2019-01-18,21.995833250000004
2019-01-19,17.4395833125
2019-01-20,13.385416666666671
2019-01-21,13.802083354166669
2019-01-22,14.097916645833335
2019-01-23,14.16
2019-01-24,13.127083333333335
2019-01-25,11.908163265306122
2019-01-26,10.2125
2019-01-27,11.483333333333334
2019-01-28,11.764583333333334
2019-01-29,9.4125
2019-01-30,8.558333333333334
2019-01-31,7.860416666666668
2019-02-01,15.295833333333334
2019-02-02,28.7083330625
2019-02-03,29.4124996875
2019-02-04,10.1
2019-02-05,11.25
2019-02-06,11.90625
2019-02-07,7.9229166666666675
2019-02-08,4.572916666666667
2019-02-09,4.895833333333332
2019-02-10,4.366666666666666
2019-02-11,6.0137931034482754
2019-02-18,7.5472222222222225
2019-02-19,9.066666666666666
2019-02-20,7.332653061224492
2019-02-21,7.316666666666666
2019-02-22,19.191836673469385
2019-02-23,36.24583291666666
2019-02-24,39.9687496875
2019-02-25,37.99791639583333
2019-02-26,35.09374960416665
2019-02-27,33.21041662500001
2019-02-28,30.27916660416666
2019-03-01,26.06458329166666
2019-03-02,19.899999916666665
2019-03-03,18.56458320833333
2019-03-04,17.408510574468092
2019-03-05,13.79166666666667
