,0,1,2,3,4,5,6,7,8
20190109,5.316666666666666,5.344444444444443,5.272222222222222,5.2555555555555555,5.25,5.344444444444445,5.355555555555556,5.488888888888887,5.666666666666666
20190107,6.44,6.540000000000001,6.4799999999999995,6.4799999999999995,6.540000000000001,6.68,6.68,6.7,6.8
20190110,7.068000000000001,7.1060000000000025,7.058000000000001,7.066,7.060000000000002,7.1259999999999994,7.081999999999999,7.088000000000002,7.0880000000000045
20190111,6.85263157894737,6.915789473684209,6.868421052631579,6.905263157894736,6.915789473684209,7.0,6.957894736842106,6.978947368421053,7.057894736842105
20190111,18.30666653333333,19.0899998,16.94666666666667,13.619999866666667,11.109999966666667,9.860000000000001,9.346666666666666,9.133333333333335,8.99
20190112,38.758333020833334,42.76666624999999,39.916666520833324,31.908333104166662,23.479166541666668,16.931249895833332,12.808333333333335,10.752083333333333,10.052083333333337
20190113,32.14166633333333,37.129166145833324,37.764583249999994,35.512499291666664,30.1645830625,23.654166625000002,17.924999979166667,14.389583354166666,12.366666666666665
20190114,26.82708297916666,31.216666520833332,32.785416229166664,32.30208314583332,29.318749500000006,23.087499875000002,16.93749995833333,13.731249958333335,11.916666666666666
20190115,32.881632040816314,37.2836731632653,38.25306087755102,37.01224442857143,33.29183653061225,26.842857,20.56122428571428,16.900000020408168,14.4489796122449
20190116,29.94791641666666,36.84583299999999,40.67291620833334,40.37708302083333,37.502083187500006,31.40833316666667,24.81458322916666,20.333333041666656,17.00624987499999
20190117,27.124999895833326,35.48541624999999,41.085416354166675,41.752083041666666,39.63124977083334,35.04791625000001,29.570832999999993,24.864583229166666,20.341666604166672
20190118,21.995833250000004,29.822916624999987,32.81666633333333,32.84999964583333,31.47499964583332,29.099999749999995,26.20833310416666,23.464583208333327,20.256249979166668
20190119,17.4395833125,22.147916520833324,26.302082895833337,30.597916354166657,34.14583314583333,33.960416312499994,31.820833020833334,29.2854165625,26.42083316666667
20190120,13.385416666666673,17.9416665625,25.06666647916666,33.2854164375,39.29999952083333,39.74583285416666,37.53958320833333,33.979166145833325,30.0083331875
20190121,13.80208335416667,19.174999958333334,29.589583145833334,36.760416333333346,38.64374972916667,38.0562495,36.4416663125,33.845833395833345,30.4729163125
20190122,14.097916645833337,18.13125,29.36875016666666,37.89791620833335,39.92708322916666,39.252082979166666,37.53541641666667,34.74374958333332,30.910416541666663
20190123,14.16,17.12222211111111,24.535555444444444,30.248888488888888,32.14222197777778,31.888888577777774,30.739999733333335,28.59333333333333,25.826666600000003
20190124,13.127083333333337,16.087499875000002,26.11458310416666,35.31249968749999,38.79583329166666,38.66041616666666,36.84999966666666,34.141666687499985,30.681249895833332
20190125,11.908163265306122,14.171428591836738,22.183673367346945,31.161224183673465,34.977550428571426,35.765305795918366,34.95918328571429,33.012244979591834,29.816326265306135
20190126,10.212499999999999,12.241666666666669,20.622916604166672,29.7770830625,34.20624966666666,35.56874966666667,35.08541631250001,33.13124987500002,29.758333249999996
20190127,11.483333333333334,13.247916645833337,20.08749975,28.589583187499993,33.36666650000002,35.112499729166665,34.54583304166667,32.44791622916665,29.118749854166666
20190128,11.764583333333334,13.193750000000003,19.17499983333333,26.55833314583332,30.812500125000014,32.51249958333333,32.44791631249999,31.179166437500015,28.439583270833335
20190129,9.412500000000001,9.92916666666667,12.18750002083334,15.362500020833338,17.514583229166668,18.522916458333338,18.44999991666667,17.58958320833333,16.043749937500007
20190130,8.558333333333334,8.600000000000001,8.552083333333334,8.5875,8.57916666666667,8.652083333333335,8.608333333333336,8.602083333333336,8.550000000000002
20190131,7.860416666666669,7.866666666666668,7.783333333333334,7.812500000000001,7.747916666666668,7.8208333333333355,7.747916666666669,7.735416666666668,7.670833333333335
20190201,15.295833333333336,15.637500000000003,14.106249958333335,12.764583270833334,12.091666666666669,11.89374991666667,11.799999916666664,11.768750104166669,11.439583333333337
20190202,28.7083330625,31.168749645833326,28.952083187499998,25.041666458333328,21.066666583333337,18.19791652083333,16.25208322916667,15.168749833333342,14.331250000000006
20190203,29.412499687500002,31.010416645833345,30.76041658333332,28.572916583333313,23.85833320833333,19.2604166875,15.6354165625,13.812499916666665,12.900000000000006
20190204,10.100000000000001,10.179166666666667,10.093750000000002,10.077083333333336,9.975000000000001,10.047916666666667,9.972916666666668,9.947916666666668,9.85416666666667
20190205,11.25,11.345833333333337,11.272916666666669,11.289583333333338,11.227083333333335,11.300000000000002,11.264583333333336,11.233333333333333,11.147916666666669
20190206,11.90625,11.995833333333335,11.931249999999999,11.92708333333333,11.847916666666665,11.902083333333332,11.858333333333329,11.81875,11.741666666666667
20190207,7.922916666666668,8.035416666666668,7.962500000000001,8.002083333333335,7.9312499999999995,8.045833333333334,8.006250000000003,8.018750000000002,7.970833333333334
20190208,4.572916666666667,4.672916666666666,4.604166666666667,4.654166666666666,4.6000000000000005,4.69375,4.65625,4.647916666666666,4.589583333333333
